Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-89628,QB,Davis,Davis Mills,Mills,1.596666654,6,6000,HOU@LAR,HOU,LAR,,,,,,QB
119110-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771,2,6000,NYG@WAS,NYG,WAS,,,,,,QB
119110-40482,QB,Tim,Tim Boyle,Boyle,3.734999895,4,6000,TEN@DEN,TEN,DEN,,,,,,QB
119110-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,NYG@WAS,WAS,NYG,,,,,,QB
119110-64051,QB,Drew,Drew Lock,Lock,12.59142848,7,6000,SF@SEA,SEA,SF,,,,,,QB
119110-112191,QB,John Rhys,John Rhys Plumlee,Plumlee,,0,6000,SF@SEA,SEA,SF,,,,,,QB
119110-226877,QB,Taylor,Taylor Elgersma,Elgersma,,0,6000,DET@GB,GB,DET,,,,,,QB
119110-208467,QB,Cam,Cam Miller,Miller,,0,6000,LV@NE,LV,NE,,,,,,QB
119110-41562,QB,Nick,Nick Mullens,Mullens,0.330000013,4,6000,CAR@JAC,JAC,CAR,,,,,,QB
119110-54879,QB,Deshaun,Deshaun Watson,Watson,11.3885716,7,6000,CIN@CLE,CLE,CIN,NA,Achilles,,,,QB
119110-86641,QB,Tanner,Tanner Mordecai,Mordecai,,0,6000,SF@SEA,SF,SEA,,,,,,QB
119110-87691,QB,Malik,Malik Willis,Willis,7.399999891,7,6000,DET@GB,GB,DET,,,,,,QB
119110-29358,QB,Marcus,Marcus Mariota,Mariota,7.643333435,6,6000,NYG@WAS,WAS,NYG,Q,Lower leg,,,,QB
119110-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666705,3,6000,PIT@NYJ,PIT,NYJ,,,,,,QB
119110-69304,QB,Kyle,Kyle Trask,Trask,-0.050000001,4,6000,TB@ATL,TB,ATL,,,,,,QB
119110-90813,QB,Clayton,Clayton Tune,Tune,-0.346666654,6,6000,ARI@NO,ARI,NO,,,,,,QB
119110-114378,QB,Payton,Payton Thorne,Thorne,,0,6000,CIN@CLE,CIN,CLE,,,,,,QB
119110-104262,QB,Brett,Brett Gabbert,Gabbert,,0,6000,MIA@IND,MIA,IND,,,,,,QB
119110-91977,QB,Ben,Ben Wooldridge,Wooldridge,,0,6000,LV@NE,NE,LV,,,,,,QB
119110-154450,QB,Riley,Riley Leonard,Leonard,,0,6000,MIA@IND,IND,MIA,,,,,,QB
119110-8023,QB,Josh,Josh Johnson,Johnson,0.194999993,4,6000,NYG@WAS,WAS,NYG,,,,,,QB
119110-119641,QB,Brady,Brady Cook,Cook,,0,6000,PIT@NYJ,NYJ,PIT,,,,,,QB
119110-154462,QB,Jalen,Jalen Milroe,Milroe,,0,6000,SF@SEA,SEA,SF,,,,,,QB
119110-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,PIT@NYJ,NYJ,PIT,,,,,,QB
